"LVIV Jul-Oct 2020 GeoMag (Bx). Smooth Spline Int."
Time        Bx
183                     19875.0577920207         
183.001419078441        19874.998531874          
183.002838156881        19874.8998993791         
183.004257235322        19874.7451600361         
183.005676313762        19874.5980488182         
183.007095392203        19874.5367258496         
183.008514470643        19874.5769545535         
183.009933549084        19874.6830591084         
183.011352627524        19874.7908337783         
183.012771705965        19874.8752971044         
183.014190784405        19875.0077683533         
183.015609862846        19875.1974892061         
183.017028941286        19875.3881918724         
183.018448019727        19875.5154407862         
183.019867098167        19875.5330056704         
183.021286176608        19875.4250999269         
183.022705255048        19875.2228668516         
183.024124333489        19874.9870034173         
183.02554341193         19874.746149722          
183.02696249037         19874.4881655279         
183.028381568811        19874.1783718096         
183.029800647251        19873.825185307          
183.031219725692        19873.4942573665         
183.032638804132        19873.2844568287         
183.034057882573        19873.2858694036         
183.035476961013        19873.5360105134         
183.036896039454        19873.9789128239         
183.038315117894        19874.5148521433         
183.039734196335        19875.0412997292         
183.041153274775        19875.4978047789         
183.042572353216        19875.8610588155         
183.043991431656        19876.0983335234         
183.045410510097        19876.1957122953         
183.046829588537        19876.1638600545         
183.048248666978        19876.0776648207         
183.049667745418        19876.019289467          
183.051086823859        19876.0160316693         
183.0525059023          19876.0634789389         
183.05392498074         19876.1479262755         
183.055344059181        19876.2926728658         
183.056763137621        19876.5330223285         
183.058182216062        19876.8611064953         
183.059601294502        19877.2328720583         
183.061020372943        19877.5644451318         
183.062439451383        19877.7720487954         
183.063858529824        19877.8553640784         
183.065277608264        19877.8297507425         
183.066696686705        19877.7358438735         
183.068115765145        19877.5741732488         
183.069534843586        19877.3612984313         
183.070953922026        19877.1143077136         
183.072373000467        19876.8583896357         
183.073792078907        19876.6278070172         
183.075211157348        19876.427574364          
183.076630235788        19876.2203988359         
183.078049314229        19875.9648163469         
183.07946839267         19875.6657794802         
183.08088747111         19875.3668898157         
183.082306549551        19875.0892341521         
183.083725627991        19874.8446723941         
183.085144706432        19874.6433041626         
183.086563784872        19874.4705754483         
183.087982863313        19874.3201531601         
183.089401941753        19874.1823899833         
183.090821020194        19874.0618990655         
183.092240098634        19873.9740437557         
183.093659177075        19873.927493458          
183.095078255515        19873.9372452329         
183.096497333956        19873.9770396594         
183.097916412396        19873.9903440598         
183.099335490837        19873.9358913022         
183.100754569277        19873.7802562424         
183.102173647718        19873.5213420574         
183.103592726159        19873.2246953238         
183.105011804599        19872.9863988078         
183.10643088304         19872.852596393          
183.10784996148         19872.784051176          
183.109269039921        19872.7427554043         
183.110688118361        19872.7181736643         
183.112107196802        19872.6975574336         
183.113526275242        19872.683384677          
183.114945353683        19872.6939210391         
183.116364432123        19872.7413272225         
183.117783510564        19872.7975456478         
183.119202589004        19872.8333793207         
183.120621667445        19872.8333643141         
183.122040745885        19872.7693983546         
183.123459824326        19872.641788949          
183.124878902766        19872.4698571643         
183.126297981207        19872.3018258618         
183.127717059648        19872.194766046          
183.129136138088        19872.1645628634         
183.130555216529        19872.2455332744         
183.131974294969        19872.4579729101         
183.13339337341         19872.7246126226         
183.13481245185         19872.9414425417         
183.136231530291        19873.0917038054         
183.137650608731        19873.2227279382         
183.139069687172        19873.4079609286         
183.140488765612        19873.6734694636         
183.141907844053        19874.0006995891         
183.143326922493        19874.4029998956         
183.144746000934        19874.842552748          
183.146165079374        19875.284262394          
183.147584157815        19875.729616998          
183.149003236255        19876.1643047117         
183.150422314696        19876.5861376898         
183.151841393136        19877.0021392074         
183.153260471577        19877.3317098435         
183.154679550018        19877.4816505004         
183.156098628458        19877.4280706265         
183.157517706899        19877.2134836485         
183.158936785339        19876.9346195707         
183.16035586378         19876.683918986          
183.16177494222         19876.5267794555         
183.163194020661        19876.5030923093         
183.164613099101        19876.5867996354         
183.166032177542        19876.7186673147         
183.167451255982        19876.7925685701         
183.168870334423        19876.7105165262         
183.170289412863        19876.5078950241         
183.171708491304        19876.2140113233         
183.173127569744        19875.8322912387         
183.174546648185        19875.428235369          
183.175965726625        19874.9988250036         
183.177384805066        19874.5666400417         
183.178803883507        19874.2178898028         
183.180222961947        19874.0016448201         
183.181642040388        19873.9159952469         
183.183061118828        19873.8823376126         
183.184480197269        19873.7661812675         
183.185899275709        19873.5332437583         
183.18731835415         19873.2947980429         
183.18873743259         19873.1279611166         
183.190156511031        19873.03811742           
183.191575589471        19873.0049647778         
183.192994667912        19872.9804521514         
183.194413746352        19872.9582389831         
183.195832824793        19872.9298093245         
183.197251903233        19872.8043001871         
183.198670981674        19872.4690529399         
183.200090060114        19871.9312742696         
183.201509138555        19871.301437506          
183.202928216996        19870.6287600027         
