x,y,z,cluster
0.0,0.0,0.0,11
0.0778163157905211,0.0424999627989169,-0.1203154535671502,11
0.2290050358766658,0.1274998883967507,-0.3549380615405612,11
0.4557881160058828,0.2511277892708008,-0.7083740482909273,11
0.7648314234204782,0.415964990436203,-1.1866317129791382,11
1.1528020244992987,0.6181395043702566,-1.7927152051855837,11
1.6285877422320991,0.8628139811032269,-2.522118300539569,11
2.1899666208714312,1.1512790831426791,-3.374840999041095,11
2.839160616164744,1.486116135503743,-4.355389525060856,11
3.578391683859484,1.8595811631410235,-5.468270102969546,11
4.33428741966003,2.2227208907177727,-6.612694251472768,11
5.031253463523309,2.529163367912379,-7.677358965744761,11
5.671511771196769,2.7918152198005037,-8.663766320575723,11
6.242841586069506,3.0145484339048405,-9.561401792434063,11
6.745242908141513,3.197363010225391,-10.368763306529598,11
7.168716936549297,3.3350962987318944,-11.090357087233008,11
7.5043758483031,3.4187136618713847,-11.739701807656278,11
7.754441599150373,3.440471124598473,-12.316797467799402,11
7.91002636610136,3.4068219994509885,-12.814133693711186,11
7.963353304039969,3.330672911504593,-13.206175213957993,11
7.983350905766968,3.262267798603593,-13.590706360253714,11
7.9711301491560596,3.193862685702594,-13.96472298301785,11
7.924469078459796,3.107388297695667,-14.335735456201489,11
7.845589649425627,3.006716622105521,-14.699237555434042,11
7.72893697268495,2.8944289839472783,-15.047718906764429,11
7.588953760596161,2.7821413457890354,-15.361652537919776,11
7.423418057411813,2.676307020168623,-15.626017700997927,11
7.237884752500467,2.582088657116301,-15.83781024641849,11
7.037908735230762,2.493032944094239,-16.00454054813254,11
6.8334888064662005,2.405267893579742,-16.151743877573733,11
6.624624966206742,2.3187935055728155,-16.27942023474206,11
6.415761125947284,2.246516405149115,-16.380059245686436,11
6.213563152930173,2.189727254816205,-16.45215883561667,11
6.030251803766314,2.140682079528691,-16.509237677644737,11
5.860272189087107,2.0929275667487475,-16.555801996141223,11
5.702513331018809,2.0413010664461035,-16.606872539008396,11
5.556975229561459,1.9793492660829284,-16.674465904567942,11
5.416992017472712,1.9006188531213917,-16.758582092819847,11
5.287007606247422,1.7960751900085328,-16.85171072981303,11
5.16368906226448,1.6605556267140802,-16.947843516386715,11
5.049258341271332,1.4914788382229105,-17.042474228170313,11
4.939271531773042,1.2849728370123226,-17.13710493995402,11
4.833728633769648,1.0436189480974525,-17.228731502157338,11
4.73485160300856,0.772579821508559,-17.314349765199875,11
4.647084350984677,0.4795994322910386,-17.386449355130438,11
4.577092744940302,0.1801657305356936,-17.43000952404686,11
4.527098740622887,-0.1063613461439844,-17.39395972908185,11
4.510434072517121,-0.3502965600739788,-17.305337316459248,11
4.519321895506917,-0.530989311133227,-17.152125687857392,11
4.547096342349926,-0.6355329742460686,-16.943337292017443,11
4.593757413046189,-0.6561835743671132,-16.684980428100182,11
4.645973373111053,-0.5877784614660958,-16.371046796944825,11
4.700411288923327,-0.4328989605581519,-16.010548847292775,11
4.751516271114446,-0.2005797091962418,-15.614001102675385,11
4.793733430315813,0.085947367483442,-15.199428460575437,11
