x,y,z
0.0,0.0,0.0
0.07781631579052112,0.04249996279891693,-0.1203154535671502
0.2290050358766658,0.12749988839675078,-0.3549380615405612
0.4557881160058828,0.25112778927080087,-0.7083740482909273
0.7648314234204782,0.41596499043620305,-1.1866317129791382
1.1528020244992987,0.6181395043702566,-1.7927152051855837
1.6285877422320993,0.8628139811032269,-2.522118300539569
2.1899666208714312,1.1512790831426793,-3.374840999041095
2.839160616164744,1.4861161355037433,-4.355389525060856
3.578391683859484,1.8595811631410233,-5.468270102969546
4.33428741966003,2.2227208907177727,-6.612694251472768
5.031253463523309,2.529163367912379,-7.677358965744761
5.671511771196769,2.7918152198005033,-8.663766320575723
6.242841586069506,3.0145484339048405,-9.561401792434063
6.745242908141513,3.197363010225391,-10.368763306529598
7.168716936549297,3.3350962987318944,-11.090357087233008
7.5043758483031,3.4187136618713847,-11.739701807656278
7.754441599150373,3.440471124598473,-12.316797467799402
7.91002636610136,3.4068219994509885,-12.814133693711186
7.963353304039969,3.3306729115045934,-13.206175213957993
7.983350905766968,3.2622677986035935,-13.590706360253714
7.9711301491560596,3.193862685702594,-13.96472298301785
7.924469078459796,3.107388297695667,-14.335735456201489
7.845589649425627,3.006716622105521,-14.699237555434042
7.72893697268495,2.8944289839472783,-15.047718906764427
7.588953760596161,2.7821413457890354,-15.361652537919777
7.423418057411813,2.676307020168623,-15.626017700997927
7.237884752500467,2.582088657116301,-15.83781024641849
7.037908735230762,2.493032944094239,-16.00454054813254
6.8334888064662005,2.405267893579742,-16.151743877573733
6.624624966206742,2.3187935055728155,-16.27942023474206
6.415761125947284,2.246516405149115,-16.380059245686436
6.213563152930173,2.1897272548162054,-16.45215883561667
6.030251803766314,2.140682079528691,-16.509237677644737
5.860272189087107,2.0929275667487475,-16.555801996141223
5.702513331018809,2.0413010664461035,-16.606872539008396
5.556975229561459,1.9793492660829284,-16.674465904567942
5.416992017472712,1.9006188531213914,-16.758582092819847
5.287007606247422,1.7960751900085328,-16.85171072981303
5.1636890622644795,1.6605556267140802,-16.947843516386715
5.049258341271332,1.4914788382229105,-17.042474228170313
4.939271531773042,1.2849728370123226,-17.13710493995402
4.833728633769648,1.0436189480974523,-17.228731502157338
4.73485160300856,0.772579821508559,-17.314349765199875
4.647084350984677,0.47959943229103863,-17.386449355130438
4.577092744940302,0.18016573053569362,-17.43000952404686
