Time (Day)	LVV B-Z (nT)
13.46111	45629.80
13.46181	45630.10
13.46250	45630.60
13.46319	45630.40
13.46389	45630.10
13.46458	45628.10
13.46528	45626.20
13.46597	45626.50
13.46667	45626.50
13.46736	45626.40
13.46806	45627.00
13.46875	45626.80
13.46944	45626.80
13.47014	45627.40
13.47083	45627.40
13.47153	45627.90
13.47222	45627.00
13.47292	45627.20
13.47361	45627.40
13.47431	45628.80
13.47500	45627.40
13.47569	45627.50
13.47639	45628.90
13.47708	45629.60
13.47778	45629.90
13.47847	45630.50
13.47917	45631.60
13.47986	45631.90
13.48056	45630.80
13.48125	45630.00
13.48194	45631.40
13.48264	45630.50
13.48333	45630.30
13.48403	45630.50
13.48472	45630.50
13.48542	45631.40
13.48611	45632.10
13.48681	45631.50
13.48750	45631.60
13.48819	45630.60
13.48889	45631.50
13.48958	45631.80
13.49028	45632.30
13.49097	45631.90
13.49167	45632.10
13.49236	45631.80
13.49306	45631.50
13.49375	45632.20
13.49444	45632.60
13.49514	45632.70
13.49583	45632.60
13.49653	45632.00
13.49722	45632.00
13.49792	45632.10
13.49861	45632.10
13.49931	45632.40
13.50000	45633.00
13.50069	45633.20
13.50139	45632.80
13.50208	45632.70
13.50278	45632.20
13.50347	45631.30
13.50417	45630.50
13.50486	45630.20
13.50556	45630.40
13.50625	45630.10
13.50694	45631.60
13.50764	45631.60
13.50833	45633.90
13.50903	45633.90
13.50972	45634.40
13.51042	45634.50
13.51111	45634.10
13.51181	45633.50
13.51250	45633.00
13.51319	45632.80
13.51389	45632.40
13.51458	45632.90
13.51528	45632.00
13.51597	45632.60
13.51667	45633.30
13.51736	45633.00
13.51806	45634.20
13.51875	45634.60
13.51944	45635.00
13.52014	45635.50
13.52083	45635.20
13.52153	45634.80
13.52222	45635.90
13.52292	45636.10
13.52361	45635.80
13.52431	45636.00
13.52500	45636.00
13.52569	45635.90
13.52639	45635.50
13.52708	45635.00
13.52778	45635.80
13.52847	45635.00
13.52917	45635.30
13.52986	45635.90
13.53056	45636.10
13.53125	45636.00
13.53194	45635.70
13.53264	45636.70
13.53333	45636.90
13.53403	45636.30
13.53472	45637.00
13.53542	45637.20
13.53611	45637.30
13.53681	45638.70
13.53750	45637.60
13.53819	45635.40
13.53889	45636.40
13.53958	45636.00
13.54028	45636.90
13.54097	45637.10
13.54167	45637.00
13.54236	45636.20
13.54306	45635.70
13.54375	45636.10
13.54444	45635.60
13.54514	45636.20
13.54583	45636.80
13.54653	45635.90
13.54722	45635.30
13.54792	45635.60
13.54861	45636.00
13.54931	45635.90
13.55000	45635.10
13.55069	45635.70
13.55139	45635.40
13.55208	45635.50
13.55278	45636.10
13.55347	45635.50
13.55417	45635.60
13.55486	45635.60
13.55556	45636.50
13.55625	45636.90
13.55694	45636.00
13.55764	45636.40
13.55833	45635.90
13.55903	45635.00
13.55972	45635.20
13.56042	45636.20
13.56111	45635.80
13.56181	45636.90
13.56250	45635.50
13.56319	45635.00
13.56389	45635.50
13.56458	45637.20
13.56528	45636.60
13.56597	45637.20
13.56667	45637.20
13.56736	45637.30
13.56806	45636.40
13.56875	45636.20
13.56944	45636.20
13.57014	45636.20
13.57083	45635.50
13.57153	45635.20
13.57222	45636.10
13.57292	45635.70
13.57361	45634.90
13.57431	45635.30
13.57500	45635.20
13.57569	45635.70
13.57639	45636.80
13.57708	45637.20
13.57778	45635.60
13.57847	45636.00
13.57917	45635.10
13.57986	45634.50
13.58056	45634.60
13.58125	45635.20
13.58194	45635.70
13.58264	45634.70
13.58333	45635.00
13.58403	45634.80
13.58472	45636.90
13.58542	45637.30
13.58611	45636.50
13.58681	45636.70
13.58750	45636.70
13.58819	45637.10
13.58889	45637.30
13.58958	45637.00
13.59028	45637.40
13.59097	45636.60
13.59167	45635.70
13.59236	45636.20
13.59306	45637.20
13.59375	45636.70
13.59444	45634.90
13.59514	45634.30
13.59583	45635.10
13.59653	45634.30
13.59722	45634.10
13.59792	45635.60
13.59861	45635.30
13.59931	45638.10
13.60000	45637.00
13.60069	45637.10
13.60139	45637.00
13.60208	45637.10
13.60278	45637.60
13.60347	45636.10
13.60417	45635.70
13.60486	45637.00
13.60556	45636.20
13.60625	45637.10
13.60694	45635.10
13.60764	45635.30
13.60833	45635.40
13.60903	45635.60
13.60972	45635.50
13.61042	45635.90
13.61111	45635.60
13.61181	45634.90
13.61250	45634.90
13.61319	45635.40
13.61389	45636.00
